ID,lat,lng,alt,distance
1,36.532753,140.226325,153.31,0
2,36.532689,140.226366,153.3,8
3,36.532625,140.226407,153.33,16
4,36.532561,140.226448,153.42,24
5,36.532497,140.226489,153.38,32
6,36.532433,140.22653,153.49,40
7,36.532369,140.226571,153.54,48
8,36.532305,140.226612,153.54,56
9,36.532241,140.226653,153.51,64
10,36.532177,140.226694,153.53,72
11,36.532113,140.226735,153.56,80
12,36.53205,140.226776,153.55,88
13,36.531986,140.226817,153.48,96
14,36.531922,140.226858,153.56,104
15,36.531858,140.226899,153.57,112
16,36.531794,140.22694,153.49,120
17,36.53173,140.226981,153.52,128
18,36.531666,140.227022,153.57,136
19,36.531602,140.227063,153.59,144
20,36.531538,140.227104,153.43,152
21,36.531474,140.227145,153.5,160
22,36.53141,140.227186,153.49,168
23,36.531346,140.227227,153.45,176
24,36.531282,140.227268,153.46,184
25,36.531218,140.227309,153.51,192
26,36.531155,140.22735,153.59,200
27,36.531091,140.22739,153.56,208
28,36.531027,140.227431,153.68,216
29,36.530963,140.227472,153.71,224
30,36.530899,140.227513,153.67,232
31,36.530835,140.227554,153.68,240
32,36.530771,140.227595,153.69,248
33,36.530707,140.227636,153.88,256
34,36.530643,140.227677,153.79,264
35,36.530579,140.227718,153.73,272
36,36.530515,140.227759,153.84,280
37,36.530451,140.2278,153.83,288
38,36.530387,140.227841,153.98,296
39,36.530332,140.227897,153.93,304
40,36.530279,140.227958,153.53,312
41,36.530227,140.228019,153.56,320
42,36.530174,140.228079,153.54,328
43,36.530121,140.22814,153.56,336
44,36.530068,140.228201,153.65,344
45,36.530016,140.228261,153.62,352
46,36.529963,140.228322,153.6,360
47,36.52991,140.228383,153.66,368
48,36.529857,140.228443,153.61,376
49,36.529805,140.228504,153.88,384
50,36.529752,140.228565,153.74,392
51,36.529715,140.228641,153.71,400
52,36.529682,140.22872,153.8,408
53,36.529649,140.228799,153.78,416
54,36.529615,140.228878,153.67,424
55,36.529582,140.228957,153.73,431
56,36.529548,140.229036,153.8,440
57,36.529515,140.229115,153.83,447
58,36.529482,140.229194,153.78,455
59,36.529448,140.229273,153.91,463
60,36.52943,140.229358,154.01,471
61,36.529418,140.229446,153.83,479
62,36.529406,140.229534,153.98,487
63,36.529395,140.229622,154,495
64,36.529383,140.22971,154.1,503
65,36.529372,140.229798,154.13,511
66,36.52936,140.229886,154.23,519
67,36.529349,140.229974,154.27,527
68,36.529353,140.230063,154.21,535
69,36.529361,140.230151,154.31,543
70,36.529368,140.23024,154.26,551
71,36.529376,140.230329,154.33,559
72,36.529383,140.230417,154.42,567
73,36.529391,140.230506,154.47,575
74,36.529399,140.230595,154.41,583
75,36.529415,140.230681,154.4144444,591
76,36.52944,140.230764,154.4688889,599
77,36.529466,140.230848,154.5333333,607
78,36.529491,140.230931,154.5777778,615
79,36.529517,140.231015,154.6622222,623
80,36.529542,140.231098,154.6366667,631
81,36.529567,140.231181,154.7111111,638
82,36.529606,140.231256,154.7455556,646
83,36.529647,140.23133,154.82,654
84,36.529687,140.231404,154.81,662
85,36.529728,140.231477,154.87,670
86,36.529768,140.231551,154.8,678
87,36.529809,140.231624,154.93,686
88,36.52985,140.231698,154.91,694
89,36.529899,140.231762,154.93,702
90,36.529954,140.23182,154.93,710
91,36.530009,140.231878,155.02,718
92,36.530063,140.231936,154.95,726
