ID,lat,lng,alt,distance
1,34.844972,136.538662,38.28,0
2,34.84492,136.538714,38.14,7
3,34.844868,136.538766,37.94,15
4,34.844816,136.538817,37.73,22
5,34.844764,136.538869,37.5,30
6,34.844737,136.538901,37.39,34
7,34.844685,136.538953,37.18,42
8,34.844633,136.539005,37.02,49
9,34.844581,136.539057,36.76,56
10,34.844529,136.539108,36.63,64
11,34.844477,136.53916,36.31,71
12,34.844425,136.539212,36.16,79
13,34.844373,136.539264,35.94,86
14,34.84432,136.539315,35.78,94
15,34.844268,136.539367,35.55,101
16,34.844216,136.539419,35.32,109
17,34.844164,136.539471,35.08,116
18,34.844112,136.539522,34.93,124
19,34.84406,136.539574,34.67,131
20,34.844008,136.539626,34.5,139
21,34.843956,136.539678,34.17,146
22,34.843904,136.539729,34.04,154
23,34.843851,136.539781,33.82,161
24,34.843799,136.539833,33.67,169
25,34.843747,136.539885,33.52,176
26,34.843695,136.539936,33.18,184
27,34.843643,136.539988,33.04,191
28,34.843591,136.54004,32.81,198
29,34.843539,136.540092,32.65,206
30,34.843487,136.540143,32.39,213
31,34.843435,136.540195,32.13,221
32,34.843382,136.540247,31.91,228
33,34.84333,136.540299,31.78,236
34,34.843278,136.54035,31.56,243
35,34.843226,136.540402,31.37,251
36,34.843174,136.540454,31.09,258
37,34.843122,136.540506,30.9,266
38,34.84307,136.540557,30.67,273
39,34.843018,136.540609,30.54,281
40,34.842966,136.540661,30.18,288
41,34.842914,136.540713,30.07,296
42,34.842861,136.540764,29.79,303
43,34.842809,136.540816,29.62,311
44,34.842757,136.540868,29.45,318
45,34.842705,136.54092,29.19,326
46,34.842653,136.540971,28.96,333
47,34.842601,136.541023,28.66,341
48,34.842549,136.541075,28.53,348
49,34.842497,136.541127,28.4,355
50,34.842445,136.541178,28.27,363
51,34.842392,136.54123,28.04,370
52,34.84234,136.541282,27.86,378
53,34.842288,136.541334,27.66,385
54,34.842236,136.541385,27.5,393
55,34.842184,136.541437,27.18,400
56,34.842132,136.541489,27.02,408
57,34.84208,136.541541,26.81,415
58,34.842028,136.541592,26.69,423
59,34.841976,136.541644,26.43,430
60,34.841923,136.541696,26.18,438
61,34.841871,136.541748,25.94,445
62,34.841819,136.541799,25.81,453
63,34.841767,136.541851,25.58,460
64,34.841715,136.541903,25.42,468
65,34.841663,136.541955,25.15,475
66,34.841611,136.542006,24.97,483
67,34.841559,136.542058,24.72,490
68,34.841507,136.54211,24.58,497
69,34.841454,136.542162,24.31,505
70,34.841402,136.542213,24.12,512
71,34.84135,136.542265,23.85,520
72,34.841298,136.542317,23.67,527
73,34.841246,136.542369,23.43,535
74,34.841194,136.54242,23.28,542
75,34.841142,136.542472,23.07,550
76,34.84109,136.542524,22.81,557
77,34.841038,136.542576,22.68,565
78,34.840985,136.542627,22.45,572
79,34.840933,136.542679,22.28,580
80,34.840881,136.542731,22.04,587
81,34.840829,136.542783,21.87,595
82,34.840777,136.542834,21.61,602
83,34.840725,136.542886,21.44,610
84,34.840673,136.542938,21.14,617
85,34.840621,136.54299,21,625
86,34.840569,136.543041,20.7,632
87,34.840516,136.543093,20.59,640
88,34.840464,136.543145,20.19,647
89,34.840412,136.543197,20.2,655
90,34.84036,136.543248,19.88,662
91,34.840308,136.5433,19.81,669
92,34.840248,136.543331,19.5,677
93,34.840182,136.543346,19.06,684
94,34.840115,136.543362,18.71,692
95,34.840049,136.543377,18.72,699
96,34.839983,136.543393,18.34,707
97,34.839917,136.543408,18.28,714
