ID,lat,lng,alt,distance
1,35.082103,137.160097,33.76,0
2,35.082093,137.160095,33.72,1
3,35.082084,137.160094,33.72,2
4,35.082074,137.160093,33.72,3
5,35.082065,137.160091,33.72,4
6,35.082055,137.16009,33.69,5
7,35.082046,137.160088,33.69,6
8,35.082036,137.160087,33.69,7
9,35.082026,137.160086,33.69,8
10,35.082017,137.160084,33.7,9
11,35.082007,137.160083,33.7,10
12,35.081998,137.160081,33.7,11
13,35.081988,137.16008,33.74,12
14,35.081979,137.160079,33.74,13
15,35.081969,137.160077,33.74,14
16,35.081959,137.160076,33.74,16
17,35.08195,137.160075,33.73,17
18,35.08194,137.160073,33.73,18
19,35.081931,137.160072,33.73,19
20,35.081921,137.16007,33.73,20
21,35.081911,137.160069,33.7,21
22,35.081902,137.160068,33.7,22
23,35.081892,137.160066,33.7,23
24,35.081883,137.160065,33.64,24
25,35.081873,137.160064,33.64,25
26,35.081864,137.160062,33.64,26
27,35.081854,137.160061,33.64,27
28,35.081844,137.160059,33.71,28
29,35.081835,137.160058,33.71,29
30,35.081825,137.160057,33.72,31
31,35.081816,137.160055,33.72,32
32,35.081806,137.160054,33.67,33
33,35.081796,137.160053,33.67,34
34,35.081787,137.160051,33.67,35
35,35.081777,137.16005,33.67,36
36,35.081768,137.160048,33.67,37
37,35.081758,137.160047,33.67,38
38,35.081749,137.160046,33.67,39
39,35.081739,137.160044,33.67,40
40,35.081729,137.160043,33.67,41
41,35.08172,137.160042,33.67,42
42,35.08171,137.16004,33.67,43
43,35.081701,137.160039,33.67,44
44,35.081691,137.160037,33.67,46
45,35.081682,137.160036,33.67,47
46,35.081672,137.160035,33.66,48
47,35.081662,137.160033,33.66,49
48,35.081655,137.160035,33.66,50
49,35.081654,137.160047,33.66,51
50,35.081653,137.160059,33.73,52
51,35.081652,137.16007,33.73,53
52,35.081651,137.160082,33.73,54
53,35.08165,137.160094,33.73,55
54,35.081649,137.160105,33.78,56
55,35.081648,137.160117,33.78,57
56,35.081647,137.160129,33.78,58
57,35.081646,137.16014,33.78,59
58,35.081645,137.160152,33.8,61
59,35.081644,137.160164,33.8,62
60,35.081643,137.160175,33.8,63
61,35.081642,137.160187,33.79,64
62,35.081641,137.160199,33.79,65
63,35.08164,137.16021,33.79,66
64,35.081639,137.160222,33.79,67
65,35.081638,137.160234,33.77,68
66,35.081637,137.160245,33.71,69
67,35.081636,137.160257,33.71,70
68,35.081635,137.160269,33.71,71
69,35.081634,137.16028,33.71,72
70,35.081633,137.160292,33.71,73
71,35.081632,137.160304,33.71,74
72,35.081631,137.160316,33.71,75
73,35.08163,137.160327,33.71,77
74,35.081629,137.160339,33.71,78
75,35.081628,137.160351,33.71,79
76,35.081627,137.160362,33.72,80
77,35.081626,137.160374,33.72,81
78,35.081625,137.160386,33.72,82
79,35.081624,137.160397,33.72,83
80,35.081623,137.160409,33.73,84
81,35.081622,137.160421,33.73,85
82,35.081621,137.160432,33.73,86
83,35.08162,137.160444,33.73,87
84,35.081619,137.160456,33.74,88
85,35.081618,137.160467,33.74,89
86,35.081617,137.160479,33.74,90
87,35.081616,137.160491,33.8,92
88,35.081615,137.160502,33.8,93
89,35.081614,137.160514,33.8,94
90,35.081613,137.160526,33.8,95
91,35.081612,137.160537,33.9,96
92,35.081611,137.160549,33.9,97
93,35.08161,137.160561,33.9,98
94,35.081609,137.160572,33.9,99
95,35.081608,137.160584,34.01,100
96,35.081607,137.160596,34.01,101
